frame,person,cat
0,8,0
1,7,0
2,7,0
3,8,0
4,8,0
5,8,0
6,8,0
7,8,0
8,8,0
9,9,0
10,9,0
11,8,0
12,10,0
13,10,0
14,10,0
15,11,1
16,8,0
17,8,0
18,9,0
19,9,0
20,9,0
21,7,0
22,8,0
23,9,0
24,7,0
25,7,0
26,8,0
27,8,0
28,7,0
29,7,0
30,7,0
31,6,0
32,6,0
33,6,0
34,7,0
35,6,0
36,5,0
37,5,1
38,5,1
39,6,1
40,6,1
41,6,0
42,6,0
43,6,0
44,6,0
45,7,0
46,8,0
47,7,0
48,9,0
49,10,0
50,9,0
51,8,0
52,9,0
53,9,0
54,10,0
55,10,0
56,10,0
57,10,0
58,10,0
59,10,0
60,11,0
61,11,0
62,11,0
63,11,0
64,11,0
65,11,0
66,10,0
67,11,0
68,11,0
69,11,0
70,11,0
71,11,0
72,12,0
73,10,0
74,10,0
75,12,0
76,11,0
77,10,0
78,12,0
79,12,0
80,12,0
81,11,0
82,10,0
83,10,0
84,10,0
85,10,0
86,10,0
87,10,0
88,10,0
89,12,0
90,13,0
91,13,0
92,13,0
93,13,0
94,13,0
95,13,0
96,13,0
97,13,0
98,13,0
99,14,0
100,14,2
101,13,1
102,13,1
103,12,1
104,12,1
105,13,2
106,13,2
107,13,1
108,12,1
109,13,1
110,13,1
111,12,2
112,11,2
113,12,2
114,11,2
115,11,2
116,11,2
117,10,0
118,11,1
119,10,0
120,9,0
121,10,1
122,10,1
123,10,0
124,12,0
125,12,1
126,13,1
127,12,1
128,12,1
129,12,1
130,13,1
131,12,1
132,11,0
133,11,1
134,11,1
135,11,0
136,13,0
137,13,0
138,13,0
139,13,0
140,13,0
141,13,0
142,12,0
143,12,0
144,12,0
145,10,0
146,10,0
147,10,0
148,10,0
149,11,0
150,12,0
151,12,0
152,12,0
153,12,0
154,12,0
155,11,0
156,12,0
157,11,0
158,10,0
159,10,0
160,11,0
161,11,0
162,11,0
163,11,0
164,12,0
165,12,0
166,12,0
167,12,0
168,11,0
169,13,0
170,12,0
171,12,0
172,11,0
173,2,0
174,2,0
175,2,0
176,2,0
177,2,0
178,2,0
179,2,0
180,2,0
0,8,0
1,7,0
2,7,0
3,8,0
4,8,0
5,8,0
6,8,0
7,8,0
8,8,0
9,9,0
10,9,0
11,8,0
12,10,0
13,10,0
14,10,0
15,11,1
16,8,0
17,8,0
18,9,0
19,9,0
20,9,0
21,7,0
22,8,0
23,9,0
24,7,0
25,7,0
26,8,0
27,8,0
28,7,0
29,7,0
30,7,0
31,6,0
32,6,0
33,6,0
34,7,0
35,6,0
36,5,0
37,5,1
38,5,1
39,6,1
40,6,1
41,6,0
42,6,0
43,6,0
44,6,0
45,7,0
46,8,0
47,7,0
48,9,0
49,10,0
50,9,0
51,8,0
52,9,0
53,9,0
54,10,0
55,10,0
56,10,0
57,10,0
58,10,0
59,10,0
60,11,0
61,11,0
62,11,0
63,11,0
64,11,0
65,11,0
66,10,0
67,11,0
68,11,0
69,11,0
70,11,0
71,11,0
72,12,0
73,10,0
74,10,0
75,12,0
76,11,0
77,10,0
78,12,0
79,12,0
80,12,0
81,11,0
82,10,0
83,10,0
84,10,0
85,10,0
86,10,0
87,10,0
88,10,0
89,12,0
90,13,0
91,13,0
92,13,0
93,13,0
94,13,0
95,13,0
96,13,0
97,13,0
98,13,0
99,14,0
100,14,2
101,13,1
102,13,1
103,12,1
104,12,1
105,13,2
106,13,2
107,13,1
108,12,1
109,13,1
110,13,1
111,12,2
112,11,2
113,12,2
114,11,2
115,11,2
116,11,2
117,10,0
118,11,1
119,10,0
120,9,0
121,10,1
122,10,1
123,10,0
124,12,0
125,12,1
126,13,1
127,12,1
128,12,1
129,12,1
130,13,1
131,12,1
132,11,0
133,11,1
134,11,1
135,11,0
136,13,0
137,13,0
138,13,0
139,13,0
140,13,0
141,13,0
142,12,0
143,12,0
144,12,0
145,10,0
146,10,0
147,10,0
148,10,0
149,11,0
150,12,0
151,12,0
152,12,0
153,12,0
154,12,0
155,11,0
156,12,0
157,11,0
158,10,0
159,10,0
160,11,0
161,11,0
162,11,0
163,11,0
164,12,0
165,12,0
166,12,0
167,12,0
168,11,0
169,13,0
170,12,0
171,12,0
172,11,0
173,2,0
174,2,0
175,2,0
176,2,0
177,2,0
178,2,0
179,2,0
180,2,0
